sep=,
Street Number,Street Name,Street Address,Suburb,District,Capital Value,Land Value,Building Age,Floor Area (m²),Land Area (ha),Last Sale Price,Last Sale Date
" 666","Beach Road","666 Beach Road","Browns Bay","Auckland","$1,060,000","$620,000","1970-1979","190","0.057","$670,000","5 Sep 2013"
" 666A","Beach Road","666A Beach Road","Browns Bay","Auckland","$1,300,000","$990,000","1970-1979","230","0.1657","$850,000","16 Dec 2012"
" 666B","Beach Road","666B Beach Road","Browns Bay","Auckland","$1,200,000","$600,000","2010-2019","236","0.0451","",""
" 1/ 668","Beach Road","1/ 668 Beach Road","Browns Bay","Auckland","$980,000","$680,000","1950-1959","90","0","$200,000","1 Aug 2000"
" 2/ 668","Beach Road","2/ 668 Beach Road","Browns Bay","Auckland","$770,000","$620,000","1990-1999","90","0","$365,000","29 Apr 2005"
" 670","Beach Road","670 Beach Road","Browns Bay","Auckland","$980,000","$700,000","1980-1989","93","0.1081","$112,000","1 Jan 1900"
" 670A","Beach Road","670A Beach Road","Browns Bay","Auckland","$790,000","$790,000","Unknown","0","0.1657","$127,000","1 Jan 1900"
" 672","Beach Road","672 Beach Road","Browns Bay","Auckland","$1,190,000","$700,000","2010-2019","194","0.0601","$300,000","1 Jan 1900"
" 672A","Beach Road","672A Beach Road","Browns Bay","Auckland","$1,150,000","$720,000","2000-2009","218","0.06","$865,000","15 May 2015"
" 676","Beach Road","676 Beach Road","Browns Bay","Auckland","$740,000","$720,000","Unknown","0","0.282","$152,000","1 Jan 1900"
" 678","Beach Road","678 Beach Road","Browns Bay","Auckland","$950,000","$620,000","1950-1959","100","0.0537","$660,000","5 Mar 2014"
" 680","Beach Road","680 Beach Road","Browns Bay","Auckland","$920,000","$620,000","1950-1959","70","0.0537","$950,000","5 Apr 2016"
" 680A","Beach Road","680A Beach Road","Browns Bay","Auckland","$1,330,000","$620,000","2000-2009","258","0.0545","$888,000","25 Nov 2013"
" 682","Beach Road","682 Beach Road","Browns Bay","Auckland","$1,760,000","$770,000","2000-2009","290","0.071","$972,000","14 Oct 2009"
" 682A","Beach Road","682A Beach Road","Browns Bay","Auckland","$1,580,000","$700,000","2010-2019","266","0.06","$1,100,000","31 Oct 2013"
" 682B","Beach Road","682B Beach Road","Browns Bay","Auckland","$1,370,000","$700,000","2000-2009","281","0.06","$954,732","10 Jan 2014"
" 682C","Beach Road","682C Beach Road","Browns Bay","Auckland","$1,470,000","$720,000","2010-2019","275","0.0626","$240,000","19 Jan 2009"
" 684","Beach Road","684 Beach Road","Browns Bay","Auckland","$1,500,000","$700,000","2000-2009","295","0.0605","$940,000","27 Nov 2013"
" 684A","Beach Road","684A Beach Road","Browns Bay","Auckland","$1,580,000","$700,000","2000-2009","318","0.0611","$820,000","12 Apr 2013"
" 684B","Beach Road","684B Beach Road","Browns Bay","Auckland","$1,620,000","$790,000","2000-2009","313","0.0736","$800,000","11 Mar 2013"
" 686","Beach Road","686 Beach Road","Browns Bay","Auckland","$1,040,000","$600,000","Mixed/Remod","130","0.0409","$1,720,000","15 Jun 2013"
" 686A","Beach Road","686A Beach Road","Browns Bay","Auckland","$1,320,000","$600,000","2010-2019","249","0.04","",""
" 688","Beach Road","688 Beach Road","Browns Bay","Auckland","$1,330,000","$600,000","2010-2019","257","0.0414","",""
" 688A","Beach Road","688A Beach Road","Browns Bay","Auckland","$1,350,000","$600,000","2010-2019","257","0.0414","$928,000","26 Aug 2014"
" 1/ 690","Beach Road","1/ 690 Beach Road","Browns Bay","Auckland","$1,080,000","$680,000","1980-1989","140","0","$520,000","26 Mar 2013"
" 2/ 690","Beach Road","2/ 690 Beach Road","Browns Bay","Auckland","$980,000","$700,000","1980-1989","130","0","$735,000","24 Nov 2014"
" 690A","Beach Road","690A Beach Road","Browns Bay","Auckland","$950,000","$900,000","1990-1999","100","0.1017","$519,000","4 Jul 2012"
" 692","Beach Road","692 Beach Road","Browns Bay","Auckland","$900,000","$770,000","1940-1949","80","0.0751","$195,000","1 Jan 1900"
" 692A","Beach Road","692A Beach Road","Browns Bay","Auckland","$1,150,000","$730,000","1970-1979","200","0.0985","$289,750","1 Jul 2002"
" 694","Beach Road","694 Beach Road","Browns Bay","Auckland","$1,350,000","$1,150,000","1970-1979","260","0.1851","$1,286,000","24 Feb 2015"
" R 702","Beach Road","R 702 Beach Road","Browns Bay","Auckland","$1,325,000","$1,225,000","1970-1979","230","1.0927","$252,000","1 Jan 1900"
" 1/ 705","Beach Road","1/ 705 Beach Road","Browns Bay","Auckland","$730,000","$500,000","1960-1969","100","0","$225,000","1 Jan 1900"
" 2/ 705","Beach Road","2/ 705 Beach Road","Browns Bay","Auckland","$630,000","$440,000","1980-1989","73","0","$200,000","1 Jan 1900"
" 705A","Beach Road","705A Beach Road","Browns Bay","Auckland","$880,000","$650,000","1990-1999","160","0.045","$850,000","6 Mar 2015"
" 1/ 706","Beach Road","1/ 706 Beach Road","Browns Bay","Auckland","$1,350,000","$870,000","1980-1989","290","0","$1,325,000","22 Feb 2016"
" 2/ 706","Beach Road","2/ 706 Beach Road","Browns Bay","Auckland","$850,000","$590,000","1990-1999","140","0","$300,000","7 Jul 2003"
" 707","Beach Road","707 Beach Road","Browns Bay","Auckland","$1,210,000","$920,000","2000-2009","172","0.1558","$325,000","1 Jan 1900"
" 1/ 708","Beach Road","1/ 708 Beach Road","Browns Bay","Auckland","$810,000","$530,000","1980-1989","130","0","$500,000","30 Nov 2013"
" 2/ 708","Beach Road","2/ 708 Beach Road","Browns Bay","Auckland","$780,000","$580,000","1980-1989","120","0","$215,000","1 Jan 1900"
" 709","Beach Road","709 Beach Road","Browns Bay","Auckland","$1,250,000","$960,000","1940-1949","140","0.1113","$1,510,000","19 Aug 2016"
" 1/ 710","Beach Road","1/ 710 Beach Road","Browns Bay","Auckland","$880,000","$620,000","1990-1999","150","0","$200,000","11 Jun 1995"
" 2/ 710","Beach Road","2/ 710 Beach Road","Browns Bay","Auckland","$800,000","$620,000","1950-1959","80","0","$372,000","26 Jun 2005"
" 711","Beach Road","711 Beach Road","Browns Bay","Auckland","$880,000","$550,000","1960-1969","150","0.055","$880,000","3 Sep 2015"
" 2/ 713","Beach Road","2/ 713 Beach Road","Browns Bay","Auckland","$620,000","$460,000","1990-1999","70","0","$193,000","5 Dec 1997"
