sep=,
Street Number,Street Name,Street Address,Suburb,District,Capital Value,Land Value,Building Age,Floor Area (m²),Land Area (ha),Last Sale Price,Last Sale Date
" 2/ 771","Beach Road","2/ 771 Beach Road","Browns Bay","Auckland","$700,000","$440,000","1970-1979","70","0","$696,000","15 Aug 2016"
" 3/ 771","Beach Road","3/ 771 Beach Road","Browns Bay","Auckland","$680,000","$460,000","1970-1979","90","0","$520,000","5 Jun 2013"
" 4/ 771","Beach Road","4/ 771 Beach Road","Browns Bay","Auckland","$700,000","$480,000","1970-1979","90","0","$430,000","24 Apr 2007"
" 1/ 772","Beach Road","1/ 772 Beach Road","Browns Bay","Auckland","$690,000","$400,000","1970-1979","130","0","$440,000","25 Oct 2012"
" 2/ 772","Beach Road","2/ 772 Beach Road","Browns Bay","Auckland","$640,000","$360,000","1970-1979","90","0","$405,000","5 Aug 2007"
" 3/ 772","Beach Road","3/ 772 Beach Road","Browns Bay","Auckland","$640,000","$360,000","1970-1979","90","0","$250,000","2 Oct 2003"
" 4/ 772","Beach Road","4/ 772 Beach Road","Browns Bay","Auckland","$660,000","$380,000","1970-1979","100","0","$153,000","13 Nov 2000"
" 5/ 772","Beach Road","5/ 772 Beach Road","Browns Bay","Auckland","$660,000","$380,000","1970-1979","100","0","$147,000","11 Jan 2001"
" 6/ 772","Beach Road","6/ 772 Beach Road","Browns Bay","Auckland","$690,000","$430,000","1970-1979","80","0","$496,000","8 Apr 2014"
" 1/ 773","Beach Road","1/ 773 Beach Road","Browns Bay","Auckland","$530,000","$360,000","1970-1979","50","0","$275,000","24 Dec 2011"
" 10/ 773","Beach Road","10/ 773 Beach Road","Browns Bay","Auckland","$510,000","$360,000","1970-1979","50","0","$245,000","30 Apr 2006"
" 2/ 773","Beach Road","2/ 773 Beach Road","Browns Bay","Auckland","$510,000","$340,000","1970-1979","60","0","$315,000","31 Jul 2009"
" 3/ 773","Beach Road","3/ 773 Beach Road","Browns Bay","Auckland","$500,000","$340,000","1970-1979","50","0","$295,000","31 Jul 2009"
" 4/ 773","Beach Road","4/ 773 Beach Road","Browns Bay","Auckland","$500,000","$340,000","1970-1979","50","0","$260,000","4 Dec 2006"
" 5/ 773","Beach Road","5/ 773 Beach Road","Browns Bay","Auckland","$540,000","$380,000","1970-1979","60","0","$148,000","31 Oct 1996"
" 6/ 773","Beach Road","6/ 773 Beach Road","Browns Bay","Auckland","$510,000","$360,000","1970-1979","50","0","$579,000","18 Dec 2017"
" 7/ 773","Beach Road","7/ 773 Beach Road","Browns Bay","Auckland","$510,000","$340,000","1970-1979","50","0","$365,000","5 Oct 2014"
" 8/ 773","Beach Road","8/ 773 Beach Road","Browns Bay","Auckland","$500,000","$340,000","1970-1979","50","0","$241,000","9 Jun 2011"
" 9/ 773","Beach Road","9/ 773 Beach Road","Browns Bay","Auckland","$500,000","$340,000","1970-1979","50","0","$435,000","25 Jun 2015"
" 1/ 774","Beach Road","1/ 774 Beach Road","Browns Bay","Auckland","$700,000","$520,000","1970-1979","90","0","$530,000","5 Oct 2014"
" 2/ 774","Beach Road","2/ 774 Beach Road","Browns Bay","Auckland","$670,000","$440,000","1970-1979","100","0","$320,000","8 Nov 2004"
" 3/ 774","Beach Road","3/ 774 Beach Road","Browns Bay","Auckland","$670,000","$430,000","1970-1979","80","0","$425,000","26 Oct 2011"
" 4/ 774","Beach Road","4/ 774 Beach Road","Browns Bay","Auckland","$700,000","$460,000","1970-1979","80","0","$392,500","12 Mar 2011"
" 775","Beach Road","775 Beach Road","Browns Bay","Auckland","$5,300,000","$5,100,000","Mixed/Remod","1127","0.5011","$3,000,000","17 Jun 1994"
" 1/ 786","Beach Road","1/ 786 Beach Road","Browns Bay","Auckland","$990,000","$560,000","1980-1989","120","0","$750,000","22 Aug 2014"
" 2/ 786","Beach Road","2/ 786 Beach Road","Browns Bay","Auckland","$800,000","$520,000","1980-1989","90","0","$4,848,000","23 Oct 2002"
" 3/ 786","Beach Road","3/ 786 Beach Road","Browns Bay","Auckland","$900,000","$560,000","1980-1989","150","0","$345,000","20 Jun 2003"
" 787","Beach Road","787 Beach Road","Browns Bay","Auckland","$970,000","$550,000","1990-1999","150","0.0403","$590,000","2 Aug 2013"
" 787A","Beach Road","787A Beach Road","Browns Bay","Auckland","$900,000","$570,000","1990-1999","126","0.0484","$530,000","14 Apr 2012"
" 787B","Beach Road","787B Beach Road","Browns Bay","Auckland","$990,000","$570,000","1990-1999","162","0.0488","$1,025,000","8 Sep 2017"
" 1/ 789","Beach Road","1/ 789 Beach Road","Browns Bay","Auckland","$840,000","$570,000","1970-1979","150","0","$0","8 Dec 2009"
" 2/ 789","Beach Road","2/ 789 Beach Road","Browns Bay","Auckland","$840,000","$590,000","1970-1979","160","0","$415,000","1 Feb 2005"
" 789A","Beach Road","789A Beach Road","Browns Bay","Auckland","$1,120,000","$1,020,000","1970-1979","180","0.1069","$110,000","6 Apr 2001"
" 791","Beach Road","791 Beach Road","Browns Bay","Auckland","$1,160,000","$870,000","1980-1989","220","0.071","$650,000","1 Nov 2012"
" 791A","Beach Road","791A Beach Road","Browns Bay","Auckland","$1,080,000","$1,020,000","1970-1979","150","0.1131","$757,000","23 Feb 2014"
" 791B","Beach Road","791B Beach Road","Browns Bay","Auckland","$850,000","$620,000","1920-1929","140","0.0614","$245,000","4 Nov 1997"
" 791C","Beach Road","791C Beach Road","Browns Bay","Auckland","$1,100,000","$690,000","1990-1999","220","0.0496","$366,000","24 Aug 2000"
" 791D","Beach Road","791D Beach Road","Browns Bay","Auckland","$1,000,000","$580,000","1990-1999","210","0.0499","$345,000","28 Mar 1999"
" 792","Beach Road","792 Beach Road","Browns Bay","Auckland","$2,450,000","$2,450,000","Unknown","0","0.1622","$180,000","23 Mar 1996"
" 793","Beach Road","793 Beach Road","Browns Bay","Auckland","$1,250,000","$710,000","2000-2009","232","0.06","$200,000","1 Jan 1900"
" 1/ 794","Beach Road","1/ 794 Beach Road","Browns Bay","Auckland","$1,020,000","$870,000","1940-1949","110","0","",""
" 2/ 794","Beach Road","2/ 794 Beach Road","Browns Bay","Auckland","$1,640,000","$870,000","2010-2019","219","0","$260,000","28 Dec 2010"
" 795","Beach Road","795 Beach Road","Browns Bay","Auckland","$900,000","$770,000","1960-1969","67","0.06","$900,000","17 Oct 2016"
" 1/ 796","Beach Road","1/ 796 Beach Road","Browns Bay","Auckland","$1,260,000","$1,050,000","1950-1959","150","0","$423,000","22 Apr 2009"
" 2/ 796","Beach Road","2/ 796 Beach Road","Browns Bay","Auckland","$990,000","$780,000","1990-1999","110","0","$380,000","26 Apr 2009"
" 3/ 796","Beach Road","3/ 796 Beach Road","Browns Bay","Auckland","$380,000","$380,000","Unknown","0","0","$52,000","3 May 2002"
" 797","Beach Road","797 Beach Road","Browns Bay","Auckland","$1,010,000","$710,000","1970-1979","280","0.0809","$660,000","17 May 2013"
" 797A","Beach Road","797A Beach Road","Browns Bay","Auckland","$1,070,000","$570,000","2000-2009","221","0.0549","",""
" 797B","Beach Road","797B Beach Road","Browns Bay","Auckland","$1,080,000","$570,000","2000-2009","231","0.0403","$756,000","20 Mar 2013"
" 798","Beach Road","798 Beach Road","Browns Bay","Auckland","$1,130,000","$740,000","2000-2009","203","0.0739","$152,000","27 Jul 1995"
" 798A","Beach Road","798A Beach Road","Browns Bay","Auckland","$1,620,000","$720,000","2010-2019","278","0.0637","$845,000","28 Oct 2012"
" 798B","Beach Road","798B Beach Road","Browns Bay","Auckland","$720,000","$720,000","Unknown","0","0.0758","$400,000","3 Nov 2014"
" 1/ 799","Beach Road","1/ 799 Beach Road","Browns Bay","Auckland","$710,000","$440,000","1950-1959","90","0","$544,500","14 Jun 2012"
" 2/ 799","Beach Road","2/ 799 Beach Road","Browns Bay","Auckland","$1,050,000","$440,000","1990-1999","130","0","$1,050,000","22 Jun 2015"
" 1/ 801","Beach Road","1/ 801 Beach Road","Browns Bay","Auckland","$600,000","$420,000","1970-1979","90","0","$520,000","10 Dec 2015"
" 2/ 801","Beach Road","2/ 801 Beach Road","Browns Bay","Auckland","$630,000","$430,000","1970-1979","90","0","$545,000","10 Dec 2015"
" 802","Beach Road","802 Beach Road","Browns Bay","Auckland","$1,470,000","$1,380,000","1960-1969","210","0.2994","$340,000","17 Nov 2000"
" 803","Beach Road","803 Beach Road","Browns Bay","Auckland","$880,000","$840,000","Mixed/Remod","90","0.0972","$475,000","15 Feb 2012"
" 1/ 804A","Beach Road","1/ 804A Beach Road","Browns Bay","Auckland","$1,050,000","$580,000","1990-1999","140","0","$312,500","16 Oct 2001"
" 2/ 804A","Beach Road","2/ 804A Beach Road","Browns Bay","Auckland","$1,050,000","$580,000","1990-1999","145","0","$423,000","16 Aug 2004"
" 804B","Beach Road","804B Beach Road","Browns Bay","Auckland","$1,150,000","$940,000","1980-1989","200","0.1085","$1,146,000","23 Apr 2017"
" 806","Beach Road","806 Beach Road","Browns Bay","Auckland","$1,270,000","$940,000","1970-1979","160","0.1527","$1,155,000","10 May 2016"
" 806A","Beach Road","806A Beach Road","Browns Bay","Auckland","$1,150,000","$860,000","1970-1979","160","0.1171","$935,000","24 Nov 2015"
" 808","Beach Road","808 Beach Road","Browns Bay","Auckland","$1,430,000","$930,000","Mixed/Remod","208","0.1027","$305,000","30 Nov 1998"
" 808A","Beach Road","808A Beach Road","Browns Bay","Auckland","$1,230,000","$800,000","1970-1979","170","0.0607","$284,500","15 Sep 1998"
" 809","Beach Road","809 Beach Road","Browns Bay","Auckland","$1,080,000","$840,000","1960-1969","180","0.0956","$790,000","4 Jun 2014"
" 1/ 810","Beach Road","1/ 810 Beach Road","Browns Bay","Auckland","$880,000","$740,000","1920-1929","70","0","$621,000","23 Nov 2014"
" 2/ 810","Beach Road","2/ 810 Beach Road","Browns Bay","Auckland","$1,130,000","$480,000","1980-1989","120","0","$243,000","9 Oct 1996"
" 1/ 812","Beach Road","1/ 812 Beach Road","Browns Bay","Auckland","$1,050,000","$520,000","1920-1929","160","0","$275,000","15 Apr 2000"
" 1/ 814","Beach Road","1/ 814 Beach Road","Browns Bay","Auckland","$1,330,000","$580,000","1970-1979","190","0","$641,000","21 Jul 2011"
" 2/ 814","Beach Road","2/ 814 Beach Road","Browns Bay","Auckland","$1,230,000","$700,000","1970-1979","180","0","$270,000","29 Nov 1995"
" 815","Beach Road","815 Beach Road","Browns Bay","Auckland","$1,050,000","$840,000","1960-1969","160","0.0842","$569,000","15 Jun 2008"
" 816","Beach Road","816 Beach Road","Browns Bay","Auckland","$1,020,000","$900,000","Mixed/Remod","150","0.108","$255,000","1 Jan 1900"
" 817","Beach Road","817 Beach Road","Browns Bay","Auckland","$1,510,000","$1,330,000","1970-1979","270","0.2152","",""
" 818","Beach Road","818 Beach Road","Browns Bay","Auckland","$1,030,000","$960,000","1950-1959","80","0.1048","$749,000","6 May 2014"
" 819","Beach Road","819 Beach Road","Browns Bay","Auckland","$1,510,000","$1,390,000","1970-1979","220","0.1935","$390,000","1 Jan 1900"
" 820","Beach Road","820 Beach Road","Browns Bay","Auckland","$940,000","$840,000","1940-1949","70","0.099","$180,000","4 Apr 1996"
" 822","Beach Road","822 Beach Road","Browns Bay","Auckland","$1,625,000","$840,000","2000-2009","320","0.0766","$809,000","19 Nov 2006"
" 1/ 824","Beach Road","1/ 824 Beach Road","Browns Bay","Auckland","$1,130,000","$650,000","1940-1949","167","0","$836,000","25 Aug 2017"
" 2/ 824","Beach Road","2/ 824 Beach Road","Browns Bay","Auckland","$840,000","$600,000","1950-1959","90","0","$190,000","1 Jan 1900"
" 825","Beach Road","825 Beach Road","Browns Bay","Auckland","$1,470,000","$1,270,000","1970-1979","270","0.1049","$410,000","1 Mar 1997"
" 826","Beach Road","826 Beach Road","Browns Bay","Auckland","$1,190,000","$900,000","Mixed/Remod","130","0.076","$650,000","17 Oct 2013"
" 1/ 828","Beach Road","1/ 828 Beach Road","Browns Bay","Auckland","$1,340,000","$680,000","Mixed/Remod","156","0","$590,000","17 Apr 2010"
" 2/ 828","Beach Road","2/ 828 Beach Road","Browns Bay","Auckland","$1,080,000","$700,000","1990-1999","250","0","$288,000","16 Jul 1995"
" 829","Beach Road","829 Beach Road","Browns Bay","Auckland","$1,320,000","$870,000","1990-1999","286","0.051","$770,000","3 Jul 2012"
" 829A","Beach Road","829A Beach Road","Browns Bay","Auckland","$1,400,000","$870,000","1990-1999","240","0.0555","$1,300,000","6 Jul 2017"
" 830","Beach Road","830 Beach Road","Browns Bay","Auckland","$1,190,000","$650,000","2000-2009","256","0.0612","$812,500","2 Jun 2014"
" 830A","Beach Road","830A Beach Road","Browns Bay","Auckland","$1,200,000","$650,000","2000-2009","209","0.0612","$627,000","7 Oct 2009"
" 1/ 831","Beach Road","1/ 831 Beach Road","Browns Bay","Auckland","$810,000","$800,000","1950-1959","60","0","$445,000","10 Dec 2012"
" 2/ 831","Beach Road","2/ 831 Beach Road","Browns Bay","Auckland","$1,460,000","$840,000","1980-1989","240","0","$1,380,000","10 Mar 2016"
" 833","Beach Road","833 Beach Road","Browns Bay","Auckland","$1,460,000","$1,020,000","Mixed/Remod","243","0.1073","$1,390,000","14 Mar 2016"
" 1/ 835","Beach Road","1/ 835 Beach Road","Browns Bay","Auckland","$1,440,000","$910,000","1920-1929","260","0","$765,000","14 Feb 2006"
" 2/ 835","Beach Road","2/ 835 Beach Road","Browns Bay","Auckland","$1,180,000","$910,000","2000-2009","229","0","$120,000","28 Jan 1999"
" 1/ 837","Beach Road","1/ 837 Beach Road","Browns Bay","Auckland","$1,460,000","$940,000","1970-1979","220","0","$1,435,000","1 Apr 2016"
" 2/ 837","Beach Road","2/ 837 Beach Road","Browns Bay","Auckland","$1,470,000","$910,000","1990-1999","310","0","$757,000","8 Nov 2005"
" 839","Beach Road","839 Beach Road","Browns Bay","Auckland","$1,710,000","$940,000","1990-1999","330","0.0675","$900,000","16 Apr 2014"
" 841","Beach Road","841 Beach Road","Browns Bay","Auckland","$970,000","$940,000","1920-1929","40","0.0675","$500,000","23 Mar 2010"
" 841A","Beach Road","841A Beach Road","Browns Bay","Auckland","$1,950,000","$1,360,000","Mixed/Remod","396","0.1227","$815,000","28 Jan 2009"
" 843","Beach Road","843 Beach Road","Browns Bay","Auckland","$1,510,000","$920,000","1980-1989","300","0.0693","$859,000","3 Mar 2010"
" 845","Beach Road","845 Beach Road","Browns Bay","Auckland","$1,480,000","$1,400,000","1930-1939","120","0.1277","$1,330,000","13 May 2015"
" 849","Beach Road","849 Beach Road","Browns Bay","Auckland","$1,160,000","$1,110,000","1960-1969","160","0.1043","$320,000","1 Jan 1900"
" R 921","Beach Road","R 921 Beach Road","Browns Bay","Auckland","$1,000,000","$990,000","Unknown","0","0.1181","$158,000","1 Jan 1900"
