sep=,
Street Number,Street Name,Street Address,Suburb,District,Capital Value,Land Value,Building Age,Floor Area (m),Land Area (ha),Last Sale Price,Last Sale Date
"1/ 149","Carlisle Road","1/ 149 Carlisle Road","Northcross","Auckland","$940,000","$730,000","1950-1959","140","0","$748,000","8 Nov 2014"
"2/ 149","Carlisle Road","2/ 149 Carlisle Road","Northcross","Auckland","$970,000","$530,000","1980-1989","130","0","$297,000","4 Mar 2003"
"150","Carlisle Road","150 Carlisle Road","Northcross","Auckland","$910,000","$780,000","1960-1969","160","0.0586","$240,000","1 Jan 1900"
"152","Carlisle Road","152 Carlisle Road","Northcross","Auckland","$650,000","$650,000","Unknown","0","0.0451","",""
"152","Carlisle Road","152 Carlisle Road","Northcross","Auckland","$920,000","$650,000","1960-1969","120","0.0469","$569,000","27 Mar 2012"
"153","Carlisle Road","153 Carlisle Road","Northcross","Auckland","$1,100,000","$1,075,000","1940-1949","100","0.1002","$1,640,000","14 Sep 2017"
"154","Carlisle Road","154 Carlisle Road","Northcross","Auckland","$1,200,000","$830,000","1960-1969","160","0.0759","$1,220,000","25 Mar 2017"
"1/ 155","Carlisle Road","1/ 155 Carlisle Road","Northcross","Auckland","$880,000","$600,000","1950-1959","107","0","$190,250","31 May 1999"
"2/ 155","Carlisle Road","2/ 155 Carlisle Road","Northcross","Auckland","$970,000","$640,000","1990-1999","180","0","$411,000","25 Apr 2006"
"1/ 156","Carlisle Road","1/ 156 Carlisle Road","Northcross","Auckland","$990,000","$560,000","1960-1969","121","0","$820,000","13 Jan 2018"
"2/ 156","Carlisle Road","2/ 156 Carlisle Road","Northcross","Auckland","$970,000","$560,000","1990-1999","130","0","$424,000","23 May 2005"
"157","Carlisle Road","157 Carlisle Road","Northcross","Auckland","$1,125,000","$990,000","1960-1969","130","0.1012","$1,200,000","21 Apr 2016"
"158","Carlisle Road","158 Carlisle Road","Northcross","Auckland","$1,390,000","$990,000","1960-1969","200","0.1088","$1,395,000","26 Apr 2016"
"1/ 159","Carlisle Road","1/ 159 Carlisle Road","Northcross","Auckland","$910,000","$600,000","1990-1999","170","0","$478,000","30 Nov 2011"
"2/ 159","Carlisle Road","2/ 159 Carlisle Road","Northcross","Auckland","$970,000","$640,000","1960-1969","160","0","$353,500","15 Nov 2003"
"160","Carlisle Road","160 Carlisle Road","Northcross","Auckland","$950,000","$850,000","1960-1969","154","0.0759","$1,050,000","15 Dec 2016"
"1/ 161","Carlisle Road","1/ 161 Carlisle Road","Northcross","Auckland","$920,000","$650,000","1960-1969","170","0","$230,000","1 Jan 1900"
"2/ 161","Carlisle Road","2/ 161 Carlisle Road","Northcross","Auckland","$740,000","$510,000","1990-1999","130","0","$220,000","6 Jun 2002"
"162","Carlisle Road","162 Carlisle Road","Northcross","Auckland","$980,000","$830,000","1960-1969","160","0.0759","$235,000","1 Jan 1900"
"163","Carlisle Road","163 Carlisle Road","Northcross","Auckland","$1,025,000","$1,000,000","1950-1959","90","0.1012","$220,000","1 Jan 1900"
"164","Carlisle Road","164 Carlisle Road","Northcross","Auckland","$1,240,000","$990,000","Mixed/Remod","220","0.1103","$1,260,000","28 Jun 2017"
"165","Carlisle Road","165 Carlisle Road","Northcross","Auckland","$840,000","$670,000","Mixed/Remod","130","0.0666","",""
"165A","Carlisle Road","165A Carlisle Road","Northcross","Auckland","$1,300,000","$630,000","2010-2019","208","0.0524","$377,000","24 Nov 2011"
"165B","Carlisle Road","165B Carlisle Road","Northcross","Auckland","$1,510,000","$630,000","2010-2019","345","0.055","",""
"166","Carlisle Road","166 Carlisle Road","Northcross","Auckland","$1,300,000","$930,000","1960-1969","240","0.1005","$548,000","28 Nov 2004"
"1/ 167A","Carlisle Road","1/ 167A Carlisle Road","Northcross","Auckland","$900,000","$570,000","1960-1969","120","0","$860,000","19 Jan 2016"
"1/ 167B","Carlisle Road","1/ 167B Carlisle Road","Northcross","Auckland","$950,000","$570,000","1950-1959","230","0","$225,000","1 Jan 1900"
"167","Carlisle Road","167 Carlisle Road","Northcross","Auckland","$1,080,000","$780,000","1970-1979","244","0.0796","$1,068,000","2 Feb 2017"
"167C","Carlisle Road","167C Carlisle Road","Northcross","Auckland","$1,075,000","$1,025,000","1980-1989","180","0.1874","$715,000","24 Feb 2009"
"2/ 167A","Carlisle Road","2/ 167A Carlisle Road","Northcross","Auckland","$970,000","$570,000","2000-2009","183","0","$550,000","20 Jul 2008"
"2/ 167B","Carlisle Road","2/ 167B Carlisle Road","Northcross","Auckland","$760,000","$530,000","1990-1999","80","0","$80,000","27 Jan 1996"
"168","Carlisle Road","168 Carlisle Road","Northcross","Auckland","$950,000","$620,000","1960-1969","91","0.043","$730,000","13 Mar 2015"
"168A","Carlisle Road","168A Carlisle Road","Northcross","Auckland","$1,000,000","$620,000","1960-1969","109","0.04","$741,000","18 Jan 2015"
"1/ 169","Carlisle Road","1/ 169 Carlisle Road","Northcross","Auckland","$795,000","$550,000","1970-1979","100","0","$215,000","1 Jan 1900"
"2/ 169","Carlisle Road","2/ 169 Carlisle Road","Northcross","Auckland","$725,000","$550,000","1970-1979","80","0","$145,000","6 Apr 2001"
"170","Carlisle Road","170 Carlisle Road","Northcross","Auckland","$3,325,000","$2,400,000","2000-2009","788","0.3143","$540,000","1 Mar 2000"
"1/ 171","Carlisle Road","1/ 171 Carlisle Road","Northcross","Auckland","$910,000","$480,000","1960-1969","80","0","$440,000","1 Jun 2012"
"2/ 171","Carlisle Road","2/ 171 Carlisle Road","Northcross","Auckland","$1,050,000","$640,000","1990-1999","220","0","$328,000","8 Mar 1996"
"1/ 173","Carlisle Road","1/ 173 Carlisle Road","Northcross","Auckland","$950,000","$600,000","1960-1969","160","0","$580,000","10 Feb 2013"
"2/ 173","Carlisle Road","2/ 173 Carlisle Road","Northcross","Auckland","$720,000","$560,000","1990-1999","70","0","$75,000","11 Nov 1996"
"175","Carlisle Road","175 Carlisle Road","Northcross","Auckland","$1,050,000","$910,000","1970-1979","180","0.0809","$325,000","11 Nov 2003"
"1/ 177","Carlisle Road","1/ 177 Carlisle Road","Northcross","Auckland","$920,000","$550,000","1990-1999","190","0","$300,000","22 Mar 1997"
"2/ 177","Carlisle Road","2/ 177 Carlisle Road","Northcross","Auckland","$920,000","$550,000","1990-1999","165","0","$345,500","8 Oct 2003"
"3/ 177","Carlisle Road","3/ 177 Carlisle Road","Northcross","Auckland","$860,000","$550,000","1990-1999","155","0","$870,000","4 Nov 2016"
"4/ 177","Carlisle Road","4/ 177 Carlisle Road","Northcross","Auckland","$920,000","$560,000","1990-1999","156","0","$608,888","16 Apr 2013"
"1/ 178","Carlisle Road","1/ 178 Carlisle Road","Northcross","Auckland","$940,000","$380,000","2000-2009","60","0","$700,000","10 May 2012"
"10/ 178","Carlisle Road","10/ 178 Carlisle Road","Northcross","Auckland","$2,175,000","$710,000","2000-2009","313","0","$1,018,000","1 Dec 2004"
"11/ 178","Carlisle Road","11/ 178 Carlisle Road","Northcross","Auckland","$830,000","$220,000","2000-2009","50","0","$0","27 Sep 2013"
"2/ 178","Carlisle Road","2/ 178 Carlisle Road","Northcross","Auckland","$1,000,000","$305,000","2000-2009","83","0","$0","4 May 2012"
"3/ 178","Carlisle Road","3/ 178 Carlisle Road","Northcross","Auckland","$590,000","$175,000","2000-2009","39","0","",""
"4/ 178","Carlisle Road","4/ 178 Carlisle Road","Northcross","Auckland","$920,000","$260,000","2000-2009","75","0","$475,000","20 Jul 2004"
"5/ 178","Carlisle Road","5/ 178 Carlisle Road","Northcross","Auckland","$1,125,000","$380,000","2000-2009","107","0","$1,063,000","28 Jan 2005"
"6/ 178","Carlisle Road","6/ 178 Carlisle Road","Northcross","Auckland","$1,000,000","$290,000","2000-2009","79","0","$680,000","7 Dec 2010"
"7/ 178","Carlisle Road","7/ 178 Carlisle Road","Northcross","Auckland","$1,350,000","$470,000","2000-2009","140","0","$670,000","18 Oct 2004"
"8/ 178","Carlisle Road","8/ 178 Carlisle Road","Northcross","Auckland","$1,225,000","$415,000","2000-2009","120","0","$545,000","22 Sep 2004"
"9/ 178","Carlisle Road","9/ 178 Carlisle Road","Northcross","Auckland","$1,825,000","$650,000","2000-2009","260","0","$960,000","20 Jul 2004"
"1/ 179","Carlisle Road","1/ 179 Carlisle Road","Northcross","Auckland","$860,000","$570,000","1960-1969","166","0","$590,000","21 May 2014"
"2/ 179","Carlisle Road","2/ 179 Carlisle Road","Northcross","Auckland","$1,025,000","$570,000","1990-1999","216","0","$575,000","9 Nov 2012"
"181","Carlisle Road","181 Carlisle Road","Northcross","Auckland","$990,000","$910,000","1990-1999","280","0.0809","$363,000","3 Nov 1996"
"183","Carlisle Road","183 Carlisle Road","Northcross","Auckland","$810,000","$570,000","1940-1949","150","0.0491","$615,200","21 Nov 2014"
"183A","Carlisle Road","183A Carlisle Road","Northcross","Auckland","$1,000,000","$600,000","2000-2009","177","0.0497","$550,000","26 Mar 2011"
