sep=,
Street Number,Street Name,Street Address,Suburb,District,Capital Value,Land Value,Building Age,Floor Area (m²),Land Area (ha),Last Sale Price,Last Sale Date
" 39","Barrack Road","39 Barrack Road","Mount Wellington","Auckland City","$950,000","$870,000","1950-1959","119","0.0809","$440,000","3 Jul 2010"
" 41","Barrack Road","41 Barrack Road","Mount Wellington","Auckland City","$1,030,000","$870,000","1950-1959","240","0.0809","$133,000","22 May 1993"
" 47","Barrack Road","47 Barrack Road","Mount Wellington","Auckland City","$1,050,000","$970,000","1950-1959","246","0.0809","$279,000","16 Nov 2002"
" 48","Barrack Road","48 Barrack Road","Mount Wellington","Auckland City","$950,000","$900,000","1950-1959","127","0.0864","$1,180,000","9 Nov 2017"
" 49","Barrack Road","49 Barrack Road","Mount Wellington","Auckland City","$995,000","$970,000","1950-1959","91","0.0809","$53,000","8 Dec 1983"
" 50","Barrack Road","50 Barrack Road","Mount Wellington","Auckland City","$950,000","$900,000","1950-1959","99","0.0864","$195,000","1 Jan 1900"
" 52","Barrack Road","52 Barrack Road","Mount Wellington","Auckland City","$930,000","$870,000","1940-1949","103","0.0864","$175,000","1 Jan 1900"
" 54","Barrack Road","54 Barrack Road","Mount Wellington","Auckland City","$960,000","$920,000","1950-1959","107","0.0888","$255,000","1 Jan 1900"
" 61","Barrack Road","61 Barrack Road","Mount Wellington","Auckland City","$960,000","$870,000","1950-1959","140","0.0809","$110,000","7 Oct 1991"
" 67","Barrack Road","67 Barrack Road","Mount Wellington","Auckland City","$950,000","$870,000","1950-1959","148","0.0809","$192,000","25 Jun 1996"
" 82A","Barrack Road","82A Barrack Road","Mount Wellington","Auckland City","$950,000","$900,000","1980-1989","86","0.0892","$25,667","18 Sep 1979"
" 88","Barrack Road","88 Barrack Road","Mount Wellington","Auckland City","$1,055,000","$1,030,000","1920-1929","130","0.0971","$490,000","4 Apr 2009"
" 89","Barrack Road","89 Barrack Road","Mount Wellington","Auckland City","$1,030,000","$970,000","1970-1979","176","0.0994","$152,000","7 Mar 1989"
" 95","Barrack Road","95 Barrack Road","Mount Wellington","Auckland City","$950,000","$900,000","1950-1959","116","0.0751","$453,500","18 Oct 2011"
" 102","Barrack Road","102 Barrack Road","Mount Wellington","Auckland City","$950,000","$870,000","1970-1979","98","0.0888","$68,000","16 Mar 1984"
" 103","Barrack Road","103 Barrack Road","Mount Wellington","Auckland City","$1,750,000","$1,625,000","1960-1969","354","0.0936","",""
" 105","Barrack Road","105 Barrack Road","Mount Wellington","Auckland City","$980,000","$950,000","1950-1959","145","0.0797","$220,000","1 Feb 2000"
" 107","Barrack Road","107 Barrack Road","Mount Wellington","Auckland City","$1,000,000","$970,000","1950-1959","97","0.0809","$510,000","5 Dec 2007"
" 109","Barrack Road","109 Barrack Road","Mount Wellington","Auckland City","$995,000","$970,000","1950-1959","117","0.0809","$333,000","20 Sep 2004"
" 111","Barrack Road","111 Barrack Road","Mount Wellington","Auckland City","$980,000","$920,000","1950-1959","116","0.0809","$230,000","1 Jan 1900"
" 113","Barrack Road","113 Barrack Road","Mount Wellington","Auckland City","$980,000","$920,000","1950-1959","135","0.0809","$156,000","23 Apr 1994"
" 117","Barrack Road","117 Barrack Road","Mount Wellington","Auckland City","$960,000","$920,000","1950-1959","127","0.0809","$185,400","29 Aug 2001"
" 121","Barrack Road","121 Barrack Road","Mount Wellington","Auckland City","$960,000","$920,000","1950-1959","125","0.0809","$574,000","11 Sep 2012"
" 123","Barrack Road","123 Barrack Road","Mount Wellington","Auckland City","$980,000","$920,000","1950-1959","154","0.0809","$105,000","6 Jun 1986"
" 125","Barrack Road","125 Barrack Road","Mount Wellington","Auckland City","$1,000,000","$920,000","1950-1959","180","0.0809","$900,000","16 Apr 2015"
" 127","Barrack Road","127 Barrack Road","Mount Wellington","Auckland City","$990,000","$920,000","1950-1959","163","0.0809","$235,000","1 Jan 1900"
" 133","Barrack Road","133 Barrack Road","Mount Wellington","Auckland City","$740,000","$710,000","1950-1959","102","0.0916","$290,000","16 Jul 2010"
" 134","Barrack Road","134 Barrack Road","Mount Wellington","Auckland City","$1,000,000","$840,000","1980-1989","140","0.0802","$170,984","10 May 1989"
" 137","Barrack Road","137 Barrack Road","Mount Wellington","Auckland City","$630,000","$630,000","Unknown","0","0.0776","$107,000","18 Mar 1988"
" 137A","Barrack Road","137A Barrack Road","Mount Wellington","Auckland City","$590,000","$590,000","Unknown","0","0.0776","$111,000","1 Jan 1900"
" 140","Barrack Road","140 Barrack Road","Mount Wellington","Auckland City","$1,130,000","$920,000","1950-1959","202","0.0994","$83,000","8 Dec 1986"
" 150","Barrack Road","150 Barrack Road","Mount Wellington","Auckland City","$950,000","$870,000","1950-1959","108","0.0809","$210,000","1 Jan 1900"
" 162","Barrack Road","162 Barrack Road","Mount Wellington","Auckland City","$950,000","$820,000","1950-1959","121","0.0809","$828,000","11 Jun 2015"
" 184","Barrack Road","184 Barrack Road","Mount Wellington","Auckland City","$990,000","$950,000","1950-1959","109","0.0883","$40,000","20 Apr 2015"
" 188","Barrack Road","188 Barrack Road","Mount Wellington","Auckland City","$1,300,000","$790,000","1950-1959","247","0.0845","$225,000","17 Nov 2003"
" 1","Bass Road","1 Bass Road","Mount Wellington","Auckland City","$900,000","$740,000","1950-1959","127","0.0763","$195,800","29 Apr 2001"
" 3","Bass Road","3 Bass Road","Mount Wellington","Auckland City","$920,000","$710,000","1950-1959","87","0.0756","$160,000","28 Apr 1995"
" 9","Bass Road","9 Bass Road","Mount Wellington","Auckland City","$1,080,000","$660,000","1950-1959","182","0.0969","$190,600","22 May 2002"
" 13","Bass Road","13 Bass Road","Mount Wellington","Auckland City","$920,000","$740,000","1950-1959","92","0.0756","$451,000","20 Oct 2010"
" 15","Bass Road","15 Bass Road","Mount Wellington","Auckland City","$1,230,000","$740,000","1950-1959","95","0.0756","$870,000","2 Nov 2015"
" 16","Bass Road","16 Bass Road","Mount Wellington","Auckland City","$1,280,000","$740,000","1950-1959","224","0.0756","$75,000","30 Nov 1992"
" 15","Bernard Street","15 Bernard Street","Mount Wellington","Auckland City","$610,000","$490,000","1960-1969","93","0.0774","$155,000","1 Jan 1900"
" 18","Bernard Street","18 Bernard Street","Mount Wellington","Auckland City","$610,000","$490,000","1960-1969","93","0.0817","$170,000","1 Apr 2004"
" 19","Bernard Street","19 Bernard Street","Mount Wellington","Auckland City","$630,000","$490,000","1960-1969","85","0.0766","$155,000","1 Jan 1900"
" 32","Bernard Street","32 Bernard Street","Mount Wellington","Auckland City","$610,000","$490,000","1960-1969","99","0.0842","$155,000","1 Jan 1900"
" 34","Bernard Street","34 Bernard Street","Mount Wellington","Auckland City","$670,000","$490,000","1960-1969","99","0.0782","$223,091","7 Sep 2007"
" 35","Bernard Street","35 Bernard Street","Mount Wellington","Auckland City","$750,000","$490,000","1950-1959","131","0.0809","$176,500","6 Aug 2002"
" 37","Bernard Street","37 Bernard Street","Mount Wellington","Auckland City","$720,000","$490,000","1960-1969","135","0.0825","$170,000","1 Jan 1900"
" 39","Bernard Street","39 Bernard Street","Mount Wellington","Auckland City","$670,000","$530,000","1960-1969","93","0.0769","$155,000","1 Jan 1900"
