sep=,
Street Number,Street Name,Street Address,Suburb,District,Capital Value,Land Value,Building Age,Floor Area (m),Land Area (ha),Last Sale Price,Last Sale Date
"40C","Weatherly Road","40C Weatherly Road","Torbay","Auckland","$910,000","$500,000","2000-2009","162","0.06","$85,000","2 Mar 2000"
"40E","Weatherly Road","40E Weatherly Road","Torbay","Auckland","$920,000","$500,000","2000-2009","149","0.06","$474,000","22 Mar 2012"
"40F","Weatherly Road","40F Weatherly Road","Torbay","Auckland","$820,000","$500,000","2000-2009","119","0.0682","$425,000","29 May 2007"
"40G","Weatherly Road","40G Weatherly Road","Torbay","Auckland","$1,025,000","$500,000","2000-2009","192","0.0701","$610,000","2 Sep 2008"
"41","Weatherly Road","41 Weatherly Road","Torbay","Auckland","$1,000,000","$600,000","1970-1979","130","0.0683","$250,000","11 Mar 1996"
"42","Weatherly Road","42 Weatherly Road","Torbay","Auckland","$980,000","$690,000","1970-1979","130","0.0911","$245,000","27 Apr 2002"
"43","Weatherly Road","43 Weatherly Road","Torbay","Auckland","$1,100,000","$600,000","1970-1979","175","0.0771","$375,000","24 Nov 2003"
"44","Weatherly Road","44 Weatherly Road","Torbay","Auckland","$1,000,000","$690,000","1970-1979","162","0.0969","$610,000","10 Jan 2013"
"1/ 45","Weatherly Road","1/ 45 Weatherly Road","Torbay","Auckland","$1,100,000","$530,000","1960-1969","250","0","$285,000","23 Sep 1996"
"2/ 45","Weatherly Road","2/ 45 Weatherly Road","Torbay","Auckland","$940,000","$500,000","1990-1999","153","0","$455,000","8 Jun 2012"
"1/ 46","Weatherly Road","1/ 46 Weatherly Road","Torbay","Auckland","$910,000","$600,000","1970-1979","130","0","$535,000","9 Apr 2014"
"2/ 46","Weatherly Road","2/ 46 Weatherly Road","Torbay","Auckland","$800,000","$550,000","1990-1999","140","0","$807,500","9 Mar 2016"
"1/ 47","Weatherly Road","1/ 47 Weatherly Road","Torbay","Auckland","$840,000","$500,000","1970-1979","160","0","$565,000","27 Aug 2012"
"2/ 47","Weatherly Road","2/ 47 Weatherly Road","Torbay","Auckland","$810,000","$530,000","1990-1999","170","0","$400,000","19 Nov 2004"
"48","Weatherly Road","48 Weatherly Road","Torbay","Auckland","$820,000","$620,000","1970-1979","130","0.0759","$600,000","7 Sep 2014"
"49","Weatherly Road","49 Weatherly Road","Torbay","Auckland","$1,375,000","$600,000","Mixed/Remod","226","0.0739","$1,333,500","4 Dec 2015"
"50","Weatherly Road","50 Weatherly Road","Torbay","Auckland","$1,050,000","$660,000","1970-1979","170","0.0622","$796,000","8 Dec 2014"
"51","Weatherly Road","51 Weatherly Road","Torbay","Auckland","$1,175,000","$600,000","1970-1979","253","0.0754","$580,000","21 Sep 2010"
"52","Weatherly Road","52 Weatherly Road","Torbay","Auckland","$1,000,000","$840,000","1970-1979","130","0.1409","$210,000","1 Jan 1900"
"53","Weatherly Road","53 Weatherly Road","Torbay","Auckland","$1,100,000","$600,000","1970-1979","200","0.066","$535,000","27 Jan 2011"
