18 Bailey Road Mount Wellington Auckland City,{"x": 19461708.55573383, "y": -4426451.914725538},{"OBJECTID": 26845, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
25 Bailey Road Mount Wellington Auckland City,{"x": 19461712.18333022, "y": -4426509.671906005},{"OBJECTID": 26845, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
33 Bailey Road Mount Wellington Auckland City,{"x": 19461753.6776945, "y": -4426574.527313851},{"OBJECTID": 26845, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
35 Bailey Road Mount Wellington Auckland City,{"x": 19461768.096411124, "y": -4426588.310355101},{"OBJECTID": 26845, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
1 Banks Road Mount Wellington Auckland City,{"x": 19462874.59939176, "y": -4425119.426968354},{"OBJECTID": 199066, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
3 Banks Road Mount Wellington Auckland City,{"x": 19462852.558132578, "y": -4425109.539971486},{"OBJECTID": 199066, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
5 Banks Road Mount Wellington Auckland City,{"x": 19462834.52437507, "y": -4425100.634515561},{"OBJECTID": 199066, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
21 Banks Road Mount Wellington Auckland City,{"x": 19462755.466032658, "y": -4425063.038041871},{"OBJECTID": 199066, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
23 Banks Road Mount Wellington Auckland City,{"x": 19462735.3107167, "y": -4425053.015449447},{"OBJECTID": 199066, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
35 Banks Road Mount Wellington Auckland City,{"x": 19462665.306575805, "y": -4425019.189269826},{"OBJECTID": 54735, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
55 Banks Road Mount Wellington Auckland City,{"x": 19462451.510527037, "y": -4424917.5873985905},{"OBJECTID": 65876, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
57 Banks Road Mount Wellington Auckland City,{"x": 19462437.318094943, "y": -4424911.470676884},{"OBJECTID": 65876, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
64 Banks Road Mount Wellington Auckland City,{"x": 19462320.48312778, "y": -4424860.435047484},{"OBJECTID": 85852, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
65 Banks Road Mount Wellington Auckland City,{"x": 19462361.65783957, "y": -4424872.622070398},{"OBJECTID": 85852, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
67 Banks Road Mount Wellington Auckland City,{"x": 19462342.730683565, "y": -4424862.464012019},{"OBJECTID": 85852, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
18 Barrack Road Mount Wellington Auckland City,{"x": 19463107.1860665, "y": -4424857.672835102},{"OBJECTID": 212744, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
31 Barrack Road Mount Wellington Auckland City,{"x": 19463033.87446997, "y": -4424987.912487865},{"OBJECTID": 212744, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
39 Barrack Road Mount Wellington Auckland City,{"x": 19463014.05391547, "y": -4425033.149599623},{"OBJECTID": 212744, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
41 Barrack Road Mount Wellington Auckland City,{"x": 19463004.92855979, "y": -4425051.941933031},{"OBJECTID": 212744, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
47 Barrack Road Mount Wellington Auckland City,{"x": 19462994.119044736, "y": -4425078.258557606},{"OBJECTID": 212744, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
48 Barrack Road Mount Wellington Auckland City,{"x": 19463012.437685434, "y": -4425053.200475876},{"OBJECTID": 212744, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
49 Barrack Road Mount Wellington Auckland City,{"x": 19462983.883336723, "y": -4425094.409665231},{"OBJECTID": 212744, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
50 Barrack Road Mount Wellington Auckland City,{"x": 19463004.923619803, "y": -4425071.992844756},{"OBJECTID": 212744, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
